t,driver,x,y
0,ALB,-1318,-40
0,ALO,-1285,341
0,BOT,-1312,32
0,COL,-1275,449
0,GAS,-1302,141
0,HAM,-1271,498
0,HUL,-1333,-205
0,LEC,-1320,-55
0,MAG,-1333,-204
0,NOR,-1286,324
0,OCO,-1287,317
0,PER,-1242,835
0,PIA,-1281,387
0,RIC,-1281,387
0,RUS,-1320,-56
0,SAI,-1329,-162
0,STR,-1306,92
0,TSU,-1283,359
0,VER,-1310,53
0,ZHO,-1296,209
2,ALB,-1318,-40
2,ALO,-1285,341
2,BOT,-1312,32
2,COL,-1275,449
2,GAS,-1302,141
2,HAM,-1271,498
2,HUL,-1333,-205
2,LEC,-1316,-10
2,MAG,-1333,-204
2,NOR,-1277,434
2,OCO,-1287,317
2,PER,-1242,835
2,PIA,-1275,452
2,RIC,-1281,387
2,RUS,-1314,7
2,SAI,-1329,-162
2,STR,-1306,92
2,TSU,-1283,359
2,VER,-1310,53
2,ZHO,-1296,209
4,ALB,-1318,-40
4,ALO,-1285,341
4,BOT,-1312,32
4,COL,-1275,449
4,GAS,-1302,141
4,HAM,-1267,541
4,HUL,-1333,-205
4,LEC,-1284,345
4,MAG,-1333,-205
4,NOR,-1079,2731
4,OCO,-1287,317
4,PER,-1242,834
4,PIA,-1093,2561
4,RIC,-1281,387
4,RUS,-1102,2463
4,SAI,-1311,44
4,STR,-1306,93
4,TSU,-1283,359
4,VER,-1310,53
4,ZHO,-1296,209
6,ALB,-1317,-25
6,ALO,-1285,341
6,BOT,-1312,32
6,COL,-1275,449
6,GAS,-1302,141
6,HAM,-1235,921
6,HUL,-1333,-205
6,LEC,-1047,3101
6,MAG,-1333,-205
6,NOR,-991,3750
6,OCO,-1287,317
6,PER,-1241,842
6,PIA,-1013,3490
6,RIC,-1281,387
6,RUS,-1029,3305
6,SAI,-1271,497
6,STR,-1306,93
6,TSU,-1283,359
6,VER,-1298,187
6,ZHO,-1296,209
8,ALB,-1292,262
8,ALO,-1284,352
8,BOT,-1312,32
8,COL,-1275,449
8,GAS,-1302,141
8,HAM,-1089,2614
8,HUL,-1333,-201
8,LEC,-955,4165
8,MAG,-1333,-204
8,NOR,-879,5054
8,OCO,-1287,317
8,PER,-1219,1098
8,PIA,-905,4748
8,RIC,-1281,387
8,RUS,-930,4459
8,SAI,-1216,1140
8,STR,-1306,93
8,TSU,-1283,359
8,VER,-1263,595
8,ZHO,-1296,209
10,ALB,-1257,663
10,ALO,-1258,646
10,BOT,-1312,32
10,COL,-1275,449
10,GAS,-1302,141
10,HAM,-1051,3053
10,HUL,-1312,31
10,LEC,-863,5240
10,MAG,-1332,-199
10,NOR,-740,6684
10,OCO,-1287,317
10,PER,-1182,1536
10,PIA,-769,6340
10,RIC,-1275,457
10,RUS,-803,5938
10,SAI,-1123,2223
10,STR,-1306,93
10,TSU,-1283,359
10,VER,-1094,2554
10,ZHO,-1296,209
12,ALB,-1233,937
12,ALO,-1231,967
12,BOT,-1312,32
12,COL,-1275,449
12,GAS,-1302,141
12,HAM,-1022,3389
12,HUL,-1282,371
12,LEC,-764,6398
12,MAG,-1318,-37
12,NOR,-635,7896
12,OCO,-1287,317
12,PER,-1095,2544
12,PIA,-666,7563
12,RIC,-1245,806
12,RUS,-707,7076
12,SAI,-1020,3415
12,STR,-1306,93
12,TSU,-1283,359
12,VER,-1073,2800
12,ZHO,-1296,209
14,ALB,-1216,1144
14,ALO,-1208,1229
14,BOT,-1312,32
14,COL,-1275,450
14,GAS,-1296,215
14,HAM,-993,3730
14,HUL,-1256,676
14,LEC,-682,7376
14,MAG,-1282,375
14,NOR,-330,8315
14,OCO,-1287,319
14,PER,-1077,2749
14,PIA,-522,8223
14,RIC,-1217,1121
14,RUS,-648,7774
14,SAI,-727,6829
14,STR,-1306,93
14,TSU,-1283,359
14,VER,-1055,3009
14,ZHO,-1296,209
16,ALB,-1202,1297
16,ALO,-1192,1415
16,BOT,-1312,32
16,COL,-1275,450
16,GAS,-1263,589
16,HAM,-959,4119
16,HUL,-1238,884
16,LEC,-634,7901
16,MAG,-1260,631
16,NOR,-143,8554
16,OCO,-1269,518
16,PER,-1062,2923
16,PIA,-202,8372
16,RIC,-1200,1323
16,RUS,-558,8170
16,SAI,-658,7661
16,STR,-1306,95
16,TSU,-1267,541
16,VER,-1041,3174
16,ZHO,-1296,209
18,ALB,-1191,1433
18,ALO,-1093,2565
18,BOT,-1312,32
18,COL,-1274,470
18,GAS,-1234,931
18,HAM,-890,4921
18,HUL,-1221,1075
18,LEC,-497,8248
18,MAG,-1242,841
18,NOR,-228,8995
18,OCO,-1233,937
18,PER,-1045,3120
18,PIA,-160,8728
18,RIC,-1187,1479
18,RUS,-223,8354
